Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
580,Óscar Valentín,es ESP,MF,Rayo Vallecano,26.0,1994.0,28.5,0,11,1,9.1,0.39,0.04,0.0,0.0,19.9,0.0,0,0,1.6,1.6,0.14,-1.6,-1.6,2021-22
581,Germán Valera,es ESP,FW,Real Sociedad,19.0,2002.0,0.6,0,1,0,0.0,1.76,0.0,0.0,0.3154166666666667,25.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0,2021-22
582,Martin Valjent,sk SVK,DF,Mallorca,25.0,1995.0,35.3,0,10,1,10.0,0.28,0.03,0.0,0.0,28.4,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,2021-22
583,Jesús Vallejo,es ESP,DF,Real Madrid,24.0,1997.0,3.8,0,0,0,24.06433121019108,0.0,0.0,0.07477707006369427,0.28456,16.60828025477707,0.0,0,0,0.0,0.0,0.09420382165605096,0.0,0.0,2021-22
584,Manu Vallejo,es ESP,MFFW,Alavés,24.0,1997.0,4.1,1,3,2,66.7,0.73,0.49,0.33,0.5,12.8,0.0,0,0,0.7,0.7,0.23,0.3,0.3,2021-22
585,Manu Vallejo,es ESP,FWMF,Valencia,24.0,1997.0,1.1,0,3,1,33.3,2.76,0.92,0.0,0.0,20.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,2021-22
586,Federico Valverde,uy URU,MF,Real Madrid,23.0,1998.0,20.4,0,34,9,26.5,1.67,0.44,0.0,0.0,25.7,0.0,0,0,1.5,1.5,0.04,-1.5,-1.5,2021-22
587,José Luis García Vayá,es ESP,MF,Levante,22.0,1998.0,22.4,0,14,2,14.3,0.63,0.09,0.0,0.0,23.5,2.0,0,0,0.8,0.8,0.06,-0.8,-0.8,2021-22
588,Jesus Vazquez,es ESP,DF,Valencia,18.0,2003.0,9.0,0,4,1,25.0,0.44,0.11,0.0,0.0,15.9,0.0,0,0,0.7,0.7,0.18,-0.7,-0.7,2021-22
589,Kevin Vázquez,es ESP,DF,Celta Vigo,28.0,1993.0,14.8,0,3,1,33.3,0.2,0.07,0.0,0.0,9.4,0.0,0,0,0.6,0.6,0.19,-0.6,-0.6,2021-22
590,Lucas Vázquez,es ESP,DF,Real Madrid,30.0,1991.0,20.4,3,18,5,27.8,0.88,0.25,0.17,0.6,20.6,0.0,0,0,2.2,2.2,0.12,0.8,0.8,2021-22
591,Gabriel Veiga,es ESP,MF,Celta Vigo,19.0,2002.0,1.2,0,2,0,0.0,1.67,0.0,0.0,0.24067307692307693,28.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,2021-22
592,Unai Vencedor Paris,es ESP,MF,Athletic Club,20.0,2000.0,26.5,0,20,2,10.0,0.76,0.08,0.0,0.0,21.0,0.0,0,0,1.3,1.3,0.06,-1.3,-1.3,2021-22
593,Gonzalo Verdú,es ESP,DF,Elche,32.0,1988.0,15.5,0,3,0,0.0,0.19,0.0,0.0,0.28456,17.6,1.0,0,0,0.1,0.1,0.04,-0.1,-0.1,2021-22
594,Mikel Vesga,es ESP,MF,Athletic Club,28.0,1993.0,15.1,2,14,4,28.6,0.93,0.27,0.14,0.5,17.9,0.0,0,0,1.2,1.2,0.09,0.8,0.8,2021-22
595,Rúben Vezo,pt POR,DF,Levante,27.0,1994.0,26.9,0,18,4,22.2,0.67,0.15,0.0,0.0,13.4,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,2021-22
596,Aleix Vidal,es ESP,DFMF,Espanyol,31.0,1989.0,21.1,2,6,3,50.0,0.28,0.14,0.33,0.67,18.4,0.0,0,0,0.9,0.9,0.15,1.1,1.1,2021-22
597,Nacho Vidal,es ESP,DF,Osasuna,26.0,1995.0,32.2,0,21,1,4.8,0.65,0.03,0.0,0.0,19.3,0.0,0,0,1.5,1.5,0.07,-1.5,-1.5,2021-22
598,Dídac Vilà,es ESP,DFMF,Espanyol,32.0,1989.0,2.3,0,0,0,26.150000000000002,0.0,0.0,0.05000000000000001,0.17444444444444446,18.55,0.0,0,0,0.0,0.0,0.08083333333333333,0.0,0.0,2021-22
599,Tonny Vilhena,nl NED,MFFW,Espanyol,26.0,1995.0,10.3,1,15,3,20.0,1.45,0.29,0.07,0.33,21.1,0.0,0,0,1.0,1.0,0.07,0.0,0.0,2021-22
600,Daniel Villahermosa,es ESP,MF,Espanyol,20.0,2001.0,0.3,0,0,0,26.122033898305087,0.0,0.0,0.07084745762711864,0.24067307692307693,21.22966101694915,0.0,0,0,0.0,0.0,0.08974576271186441,0.0,0.0,2021-22
601,Asier Villalibre,es ESP,FW,Athletic Club,23.0,1997.0,6.1,2,19,6,31.6,3.12,0.99,0.11,0.33,12.3,0.0,0,0,2.7,2.7,0.14,-0.7,-0.7,2021-22
602,Gonzalo Villar,es ESP,MF,Getafe,23.0,1998.0,3.3,0,2,2,100.0,0.6,0.6,0.0,0.0,20.4,0.0,0,0,0.5,0.5,0.23,-0.5,-0.5,2021-22
603,Vitolo,es ESP,MF,Getafe,31.0,1989.0,2.5,0,1,0,0.0,0.41,0.0,0.0,0.24067307692307693,26.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,2021-22
604,Daniel Vivian,es ESP,DF,Athletic Club,22.0,1999.0,22.1,2,17,8,47.1,0.77,0.36,0.12,0.25,12.6,0.0,0,0,1.6,1.6,0.09,0.4,0.4,2021-22
605,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,29.0,1992.0,10.2,1,4,1,25.0,0.39,0.1,0.25,1.0,13.4,0.0,0,0,1.1,1.1,0.29,-0.1,-0.1,2021-22
606,Nikola Vukčević,me MNE,MF,Levante,29.0,1991.0,1.3,0,1,0,0.0,0.76,0.0,0.0,0.24067307692307693,32.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,2021-22
607,Daniel Wass,dk DEN,DFFW,Atlético Madrid,32.0,1989.0,0.5,0,0,0,23.144444444444446,0.0,0.0,0.03666666666666667,0.25,18.577777777777776,0.0,0,0,0.0,0.0,0.08,0.0,0.0,2021-22
608,Daniel Wass,dk DEN,MF,Valencia,32.0,1989.0,17.6,1,28,8,28.6,1.59,0.46,0.04,0.13,24.5,1.0,0,0,2.2,2.2,0.08,-1.2,-1.2,2021-22
609,Iñaki Williams,gh GHA,FW,Athletic Club,27.0,1994.0,30.9,8,94,35,37.2,3.05,1.13,0.07,0.2,14.0,0.0,1,1,15.0,14.2,0.15,-7.0,-7.2,2021-22
610,Nico Williams,es ESP,MF,Athletic Club,19.0,2002.0,14.9,0,33,10,30.3,2.22,0.67,0.0,0.0,15.5,0.0,0,0,3.5,3.5,0.11,-3.5,-3.5,2021-22
611,Okay Yokuşlu,tr TUR,DFMF,Getafe,27.0,1994.0,5.2,0,4,1,25.0,0.77,0.19,0.0,0.0,14.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,2021-22
612,Okay Yokuşlu,tr TUR,DFMF,Celta Vigo,27.0,1994.0,1.6,0,2,0,0.0,1.29,0.0,0.0,0.17444444444444446,10.8,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,2021-22
613,Joseba Zaldúa,es ESP,DF,Real Sociedad,29.0,1992.0,13.0,0,6,3,50.0,0.46,0.23,0.0,0.0,26.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,2021-22
614,Oier Zarraga,es ESP,MF,Athletic Club,22.0,1999.0,13.0,1,17,3,17.6,1.31,0.23,0.0,0.0,25.5,0.0,1,1,1.5,0.7,0.04,-0.5,-0.7,2021-22
615,Luca Zidane,fr FRA,GK,Rayo Vallecano,23.0,1998.0,7.2,0,0,0,33.333333333333336,0.0,0.0,0.0,0.0,15.666666666666666,0.0,0,0,0.0,0.0,0.03333333333333333,0.0,0.0,2021-22
616,Igor Zubeldia,es ESP,DF,Real Sociedad,24.0,1997.0,18.3,0,9,2,22.2,0.49,0.11,0.0,0.0,17.7,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,2021-22
617,Martín Zubimendi,es ESP,MF,Real Sociedad,22.0,1999.0,28.8,2,20,9,45.0,0.69,0.31,0.1,0.22,13.2,0.0,0,0,2.3,2.3,0.12,-0.3,-0.3,2021-22
