S.No.,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls/per 90,Ast/per 90,xG/expexted season,xA/expected season,xG/per 90,xA/per 90,Season
590,Jawad El Yamiq,ma MAR,DF,Valladolid,30,1992,25,19,"1,608",17.9,1,0,1,1,0.06,0,1.1,0.4,0.06,0.02,2022/2023
591,Joseba Zaldúa,es ESP,DF,Cádiz,30,1992,10,7,639,7.1,0,1,4,0,0,0.14,0,0,0,0.01,2022/2023
592,Oier Zarraga,es ESP,MF,Athletic Club,23,1999,26,6,852,9.5,0,0,5,0,0,0,1.3,1.1,0.13,0.12,2022/2023
593,Igor Zubeldia,es ESP,DF,Real Sociedad,25,1997,31,29,"2,542",28.2,1,1,11,0,0.04,0.04,0.9,0.4,0.03,0.01,2022/2023
594,Martín Zubimendi,es ESP,MF,Real Sociedad,23,1999,36,35,"3,101",34.5,1,3,12,0,0.03,0.09,1.9,2,0.06,0.06,2022/2023
595,Blanco,,MF,Cádiz,22,2000,3,2,158,1.8,0,0,0,0,0,0,,,,,2022/2023
596,Hugo Guillamón,,"DF,MF",Valencia,22,2000,25,19,"1,632",18.1,1,4,5,0,0.06,0.22,,,,,2022/2023
597,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,2,0,0,0,0.3,0,0.05,0,2021/2022
598,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,26,"2,260",25.1,1,3,10,0,0.04,0.12,1.2,2.9,0.05,0.11,2021/2022
599,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,17,"1,616",18,0,1,4,0,0,0.06,0.2,0.7,0.01,0.04,2021/2022
600,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,2021/2022
601,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,0,0,0.6,0,1,0.1,0.61,0.07,2021/2022
602,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,2021/2022
603,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,"2,637",29.3,0,0,1,0,0,0,0.3,0.3,0.01,0.01,2021/2022
604,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,"1,844",20.5,0,0,4,0,0,0,0.5,0.3,0.02,0.02,2021/2022
605,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0.1,0.6,0.11,0.43,2021/2022
606,Paul Akouokou,ci CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,2,1,0,0,0,0.1,0.01,0.02,2021/2022
607,David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,"2,642",29.4,2,3,2,0,0.07,0.1,1.6,2.2,0.06,0.07,2021/2022
608,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,"1,425",15.8,0,1,5,0,0,0.06,1.1,1.1,0.07,0.07,2021/2022
609,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,"2,644",29.4,2,10,11,0,0.07,0.34,1.5,7.1,0.05,0.24,2021/2022
610,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,"2,465",27.4,0,0,8,0,0,0,0.4,0.1,0.01,0,2021/2022
611,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,1,0,0.11,0.34,3.9,1.6,0.45,0.19,2021/2022
612,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,"1,105",12.3,2,0,7,0,0.16,0,1.3,0.9,0.11,0.08,2021/2022
613,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,"2,403",26.7,2,0,15,0,0.07,0,0.8,0.1,0.03,0.01,2021/2022
614,Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,20,11,"1,065",11.8,2,2,7,0,0.17,0.17,1.4,1.8,0.12,0.15,2021/2022
615,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,"2,320",25.8,1,2,6,1,0.04,0.08,1.8,1.3,0.07,0.05,2021/2022
616,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0.2,0,1.39,0,2021/2022
617,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,"1,860",20.7,0,0,6,0,0,0,0.5,0.1,0.02,0.01,2021/2022
618,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,"1,098",12.2,1,3,2,1,0.08,0.25,0.3,2.3,0.02,0.19,2021/2022
619,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,0,0,0,1.14,0,0.1,0.03,0.1,2021/2022
620,Amath,sn SEN,"FW,MF",Mallorca,25,1996,19,9,884,9.8,0,1,5,0,0,0.1,1.4,0.9,0.14,0.1,2021/2022
621,Florin Andone,ro ROU,FW,Cádiz,28,1993,5,1,176,2,0,0,1,0,0,0,0.2,0.1,0.12,0.05,2021/2022
622,Marcos André,br BRA,"FW,MF",Valencia,24,1996,29,8,973,10.8,1,3,3,0,0.09,0.28,3,2.6,0.28,0.24,2021/2022
623,José Ángel,es ESP,DF,Osasuna,31,1989,23,12,"1,083",12,1,1,2,1,0.08,0.08,0.2,1.5,0.02,0.13,2021/2022
624,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,2021/2022
625,Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,31,"2,663",29.6,0,5,13,0,0,0.17,1.2,2.2,0.04,0.07,2021/2022
626,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,29,"2,617",29.1,0,0,4,0,0,0,0.3,0.2,0.01,0.01,2021/2022
627,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,"2,272",25.2,4,0,6,0,0.16,0,1.5,1.2,0.06,0.05,2021/2022
628,Jesús Areso,es ESP,DF,Osasuna,22,1999,3,2,188,2.1,0,0,1,0,0,0,0,0,0,0.02,2021/2022
629,Matias Arezo,uy URU,"FW,MF",Granada,18,2002,8,1,162,1.8,0,0,1,0,0,0,1,0.3,0.56,0.17,2021/2022
630,Santiago Arias,co COL,DF,Granada,29,1992,12,4,440,4.9,1,0,1,0,0.2,0,0.7,0.4,0.15,0.09,2021/2022
631,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,14,5,469,5.2,1,0,2,0,0.19,0,0.2,0,0.04,0.01,2021/2022
632,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6,0,0,1,0,0,0,0,0,0,0,2021/2022
633,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0,0,0,0,0,0.22,0.17,2021/2022
634,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,31,19,"1,731",19.2,10,0,2,0,0.52,0,7.5,2.4,0.39,0.13,2021/2022
635,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,"3,087",34.3,18,5,9,0,0.52,0.15,14.1,5.9,0.41,0.17,2021/2022
636,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,"1,082",12,11,1,0,0,0.91,0.08,7.8,1.1,0.65,0.09,2021/2022
637,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,27,1994,19,9,793,8.8,0,1,3,0,0,0.11,0.4,0.8,0.04,0.09,2021/2022
638,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,"1,010",11.2,0,1,4,0,0,0.09,0.8,1.4,0.07,0.13,2021/2022
639,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,36,22,"1,870",20.8,6,1,9,1,0.29,0.05,4.3,1.6,0.21,0.08,2021/2022
640,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,"1,934",21.5,1,0,9,0,0.05,0,1.4,0.6,0.06,0.03,2021/2022
641,Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,5.7,0,1,3,0,0,0.18,0.9,1.3,0.15,0.23,2021/2022
642,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,"2,160",24,0,0,2,0,0,0,0,0,0,0,2021/2022
643,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2021/2022
644,Alejandro Balde,es ESP,"DF,FW",Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0,0.01,0.02,2021/2022
645,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,2,0,0.32,0,1.2,0.1,0.39,0.03,2021/2022
646,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,"2,027",22.5,0,0,2,0,0,0,0.1,0.4,0.01,0.02,2021/2022
647,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,35,"3,147",35,1,2,10,1,0.03,0.06,0.9,3.5,0.02,0.1,2021/2022
648,Barbero,es ESP,"FW,MF",Osasuna,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0,0,0,2021/2022
649,Barcia,es ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,2021/2022
650,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,30,17,"1,701",18.9,3,3,3,0,0.16,0.16,3.9,3,0.2,0.16,2021/2022
651,Keidi Bare,al ALB,MF,Espanyol,23,1997,25,18,"1,481",16.5,1,1,9,0,0.06,0.06,0.3,0.5,0.02,0.03,2021/2022
652,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,21,9,865,9.6,2,0,2,0,0.21,0,1.5,0.5,0.16,0.05,2021/2022
653,Antonio Barragán,es ESP,DF,Elche,34,1987,16,12,"1,020",11.3,0,0,5,0,0,0,0,0.1,0,0,2021/2022
654,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19,2001,11,6,547,6.1,1,1,0,0,0.16,0.16,0.5,0.8,0.08,0.14,2021/2022
655,Marc Bartra,es ESP,DF,Betis,30,1991,23,23,"1,993",22.1,1,0,5,0,0.05,0,1.6,0.1,0.07,0,2021/2022
656,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,6,2,197,2.2,0,0,1,0,0,0,0,0,0,0,2021/2022
657,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,26,12,"1,179",13.1,0,0,4,0,0,0,0.4,0.1,0.03,0,2021/2022
658,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,1,0,45,0.5,0,0,0,0,0,0,0.1,0,0.15,0,2021/2022
659,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,29,6,867,9.6,1,2,2,0,0.1,0.21,1.7,1.8,0.17,0.18,2021/2022
660,Héctor Bellerín,es ESP,DF,Betis,26,1995,23,22,"1,979",22,0,2,2,1,0,0.09,0.5,2.1,0.02,0.1,2021/2022
661,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,37,31,"2,597",28.9,1,0,4,0,0.03,0,0.4,0.3,0.01,0.01,2021/2022
662,Darío Benedetto,ar ARG,"FW,MF",Elche,31,1990,14,6,590,6.6,2,1,1,0,0.31,0.15,2,0.9,0.31,0.13,2021/2022
663,Iker Benito,es ESP,"FW,MF",Osasuna,18,2002,4,1,118,1.3,0,0,1,0,0,0,0.1,0.1,0.06,0.09,2021/2022
664,Pedro Benito,es ESP,FW,Cádiz,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,2021/2022
665,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,32,31,"2,593",28.8,27,12,0,0,0.94,0.42,23.7,7.9,0.83,0.28,2021/2022
666,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,14,11,"1,015",11.3,1,2,3,0,0.09,0.18,0.4,1.2,0.03,0.1,2021/2022
667,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,34,24,"2,168",24.1,3,6,8,0,0.12,0.25,5.2,5.4,0.22,0.23,2021/2022
668,Pedro Bigas,es ESP,DF,Elche,30,1990,19,19,"1,551",17.2,1,0,6,0,0.06,0,0.6,0.3,0.03,0.02,2021/2022
669,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,"2,790",31,0,2,2,0,0,0.06,0,0.6,0,0.02,2021/2022
670,Lucas Boyé,ar ARG,FW,Elche,25,1996,24,22,"1,713",19,7,3,3,0,0.37,0.16,4.6,2,0.24,0.1,2021/2022
671,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,4,3,235,2.6,2,1,0,0,0.77,0.38,0.9,1.2,0.33,0.46,2021/2022
672,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,35,27,"2,405",26.7,1,2,8,0,0.04,0.07,1.5,1.7,0.06,0.06,2021/2022
673,Claudio Bravo,cl CHI,GK,Betis,38,1983,17,17,"1,456",16.2,0,0,2,0,0,0,0,0.1,0,0.01,2021/2022
674,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,12,2,343,3.8,0,0,3,0,0,0,0,0,0,0,2021/2022
675,Ante Budimir,hr CRO,FW,Osasuna,30,1991,28,20,"1,738",19.3,8,2,3,0,0.41,0.1,8.3,0.7,0.43,0.04,2021/2022
676,Sergio Busquets,es ESP,MF,Barcelona,33,1988,36,36,"3,198",35.5,2,0,12,0,0.06,0,0.6,1.7,0.02,0.05,2021/2022
677,Adrián Butzke,es ESP,FW,Granada,22,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2021/2022
678,Erick Cabaco,uy URU,DF,Getafe,26,1995,10,5,403,4.5,0,1,4,1,0,0.22,0.1,0.4,0.01,0.09,2021/2022
679,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37,37,"3,330",37,2,0,7,0,0.05,0,1.1,0.7,0.03,0.02,2021/2022
680,Martín Cáceres,uy URU,DF,Levante,34,1987,10,9,663,7.4,0,0,2,0,0,0,0,0.1,0,0.02,2021/2022
681,Cala,es ESP,DF,Cádiz,31,1989,14,10,947,10.5,0,0,8,1,0,0,0.7,0.5,0.06,0.05,2021/2022
682,Calderón,es ESP,DF,Betis,21,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.1,0,0.09,2021/2022
683,Fernando Calero,es ESP,DF,Espanyol,25,1995,16,13,"1,090",12.1,0,0,3,0,0,0,0.2,0.1,0.01,0.01,2021/2022
684,Víctor Camarasa,es ESP,"MF,FW",Betis,27,1994,7,0,108,1.2,0,0,0,0,0,0,0,0,0.02,0,2021/2022
685,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,26,13,"1,236",13.7,2,1,8,0,0.15,0.07,1.2,1,0.09,0.07,2021/2022
686,José Campaña,es ESP,MF,Levante,28,1993,20,16,"1,422",15.8,2,2,6,1,0.13,0.13,1.5,1.1,0.09,0.07,2021/2022
687,Sergio Canales,es ESP,"FW,MF",Betis,30,1991,34,33,"2,791",31,5,8,6,0,0.16,0.26,4.1,5.6,0.13,0.18,2021/2022
688,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,25,4,610,6.8,0,1,1,0,0,0.15,2.2,0.4,0.32,0.06,2021/2022
689,Ander Capa,es ESP,DF,Athletic Club,29,1992,1,0,4,0,0,0,0,0,0,0,0,0,0.51,0,2021/2022
690,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,30,26,"2,290",25.4,1,1,9,0,0.04,0.04,0.5,0.5,0.02,0.02,2021/2022
691,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,25,17,"1,544",17.2,0,1,2,0,0,0.06,0.4,0.5,0.02,0.03,2021/2022
692,Cárdenas,es ESP,GK,Levante,24,1997,24,24,"2,160",24,0,0,3,0,0,0,0,0,0,0,2021/2022
693,Carlo,es ESP,MF,Villarreal,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,2021/2022
694,Diego Carlos,br BRA,DF,Sevilla,28,1993,34,34,"2,957",32.9,3,0,4,1,0.09,0,2.1,0.2,0.06,0.01,2021/2022
695,Carmona,es ESP,DF,Sevilla,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,2021/2022
696,Yannick Carrasco,be BEL,"FW,MF",Atlético Madrid,27,1993,34,28,"2,583",28.7,6,6,5,0,0.21,0.21,5.3,7,0.18,0.24,2021/2022
697,Guido Carrillo,ar ARG,FW,Elche,30,1991,29,11,"1,168",13,2,0,3,0,0.15,0,2.6,0.3,0.2,0.02,2021/2022
698,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,24,17,"1,551",17.2,1,3,1,0,0.06,0.17,0.5,2.4,0.03,0.14,2021/2022
699,William Carvalho,pt POR,MF,Betis,29,1992,33,20,"1,805",20.1,2,3,6,0,0.1,0.15,3.1,1.5,0.16,0.07,2021/2022
700,Casemiro,br BRA,MF,Real Madrid,29,1992,32,31,"2,569",28.5,1,3,11,0,0.04,0.11,2.5,2.8,0.09,0.1,2021/2022
701,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,"1,260",14,0,0,3,0,0,0,0,0.1,0,0.01,2021/2022
702,Catena,es ESP,DF,Rayo Vallecano,26,1994,36,36,"3,240",36,2,2,8,0,0.06,0.06,1.4,0.8,0.04,0.02,2021/2022
703,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,11,2,276,3.1,0,0,1,0,0,0,0.7,0.2,0.23,0.05,2021/2022
704,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,33,21,"1,801",20,4,3,5,0,0.2,0.15,3.1,1.1,0.15,0.05,2021/2022
705,Chapela,es ESP,"MF,FW",Cádiz,22,1999,9,4,398,4.4,0,0,0,0,0,0,0.1,0.1,0.02,0.02,2021/2022
706,Chema,es ESP,MF,Getafe,29,1992,1,1,45,0.5,0,0,1,1,0,0,0,0,0.05,0.04,2021/2022
707,Denis Cheryshev,ru RUS,"MF,FW",Valencia,30,1990,17,5,563,6.3,0,1,1,0,0,0.16,0.9,0.4,0.14,0.06,2021/2022
708,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,22,1999,27,12,"1,333",14.8,3,3,4,0,0.2,0.2,4.6,4.6,0.31,0.31,2021/2022
709,Víctor Chust,es ESP,DF,Cádiz,21,2000,25,20,"1,830",20.3,0,0,2,0,0,0,0.7,0,0.04,0,2021/2022
710,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,"1,457",16.2,0,1,1,0,0,0.06,0,0,0,0,2021/2022
711,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,31,11,"1,097",12.2,2,1,5,0,0.16,0.08,1.7,0.5,0.14,0.04,2021/2022
712,Carlos Clerc,es ESP,DF,Levante,29,1992,19,18,"1,514",16.8,0,0,6,0,0,0,0.1,0.8,0.01,0.05,2021/2022
713,Coke,es ESP,DF,Levante,34,1987,6,1,118,1.3,1,0,1,0,0.76,0,0.6,0.1,0.48,0.04,2021/2022
714,Álex Collado,es ESP,"MF,FW",Granada,22,1999,17,13,"1,020",11.3,2,1,1,0,0.18,0.09,0.8,1,0.07,0.09,2021/2022
715,Eray Cömert,ch SUI,DF,Valencia,23,1998,8,5,408,4.5,0,0,2,0,0,0,0.4,0,0.08,0.01,2021/2022
716,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,35,32,"2,682",29.8,1,2,12,1,0.03,0.07,3.7,2,0.12,0.07,2021/2022
717,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,2021/2022
718,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,20,8,830,9.2,2,1,3,0,0.22,0.11,0.3,0.8,0.03,0.08,2021/2022
719,Jesús Corona,mx MEX,"FW,DF",Sevilla,28,1993,18,12,"1,157",12.9,2,4,2,0,0.16,0.31,1.6,3.1,0.12,0.24,2021/2022
720,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,26,1995,36,21,"1,856",20.6,12,5,3,1,0.58,0.24,7.3,3.7,0.35,0.18,2021/2022
721,Thierry Correia,pt POR,DF,Valencia,22,1999,19,18,"1,414",15.7,0,1,5,0,0,0.06,0.3,1.1,0.02,0.07,2021/2022
722,Hélder Costa,ao ANG,"MF,FW",Valencia,27,1994,22,13,"1,118",12.4,0,1,3,0,0,0.08,0.3,1.8,0.03,0.14,2021/2022
723,Jaume Costa,es ESP,DF,Mallorca,33,1988,25,21,"1,828",20.3,0,4,5,1,0,0.2,0.8,2.4,0.04,0.12,2021/2022
724,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,"3,240",36,0,0,1,0,0,0,0,0,0,0,2021/2022
725,Philippe Coutinho,br BRA,"MF,FW",Barcelona,29,1992,12,5,503,5.6,2,0,1,0,0.36,0,3.1,0.3,0.55,0.04,2021/2022
726,Cristo,es ESP,DF,Real Sociedad,21,2000,1,0,17,0.2,0,0,0,0,0,0,0,0.1,0.03,0.39,2021/2022
727,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,23,22,"1,934",21.5,0,0,4,0,0,0,0.2,0,0.01,0,2021/2022
728,Marc Cucurella,es ESP,"MF,DF",Getafe,23,1998,1,0,23,0.3,0,0,0,0,0,0,0.2,0.1,0.62,0.31,2021/2022
729,Jorge Cuenca,es ESP,DF,Getafe,21,1999,32,31,"2,683",29.8,1,0,6,2,0.03,0,0.9,0.1,0.03,0,2021/2022
730,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,29,8,"1,063",11.8,6,4,3,0,0.51,0.34,5.8,2.2,0.49,0.19,2021/2022
731,Arnaut Danjuma,nl NED,FW,Villarreal,24,1997,23,17,"1,472",16.4,10,3,1,0,0.61,0.18,11.9,2.2,0.73,0.14,2021/2022
732,Sergi Darder,es ESP,MF,Espanyol,27,1993,36,36,"3,125",34.7,3,9,4,0,0.09,0.26,2.6,3.9,0.07,0.11,2021/2022
733,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,36,24,"2,151",23.9,3,1,7,0,0.13,0.04,1.6,4.6,0.07,0.19,2021/2022
734,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,26,15,"1,549",17.2,2,1,4,1,0.12,0.06,1.2,0.8,0.07,0.04,2021/2022
735,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,21,15,"1,409",15.7,1,13,3,0,0.06,0.83,2.6,8.3,0.17,0.53,2021/2022
736,Yusuf Demir,at AUT,FW,Barcelona,18,2003,6,2,192,2.1,0,0,0,0,0,0,0.1,0,0.04,0,2021/2022
737,Sergiño Dest,us USA,"DF,FW",Barcelona,20,2000,21,17,"1,512",16.8,0,3,2,0,0,0.18,1.1,2.5,0.07,0.15,2021/2022
738,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,25,13,"1,269",14.1,5,5,3,0,0.35,0.35,5.4,2.4,0.39,0.17,2021/2022
739,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,29,21,"1,948",21.6,0,1,11,0,0,0.05,0.6,0.2,0.03,0.01,2021/2022
740,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,2021/2022
741,Víctor Díaz,es ESP,DF,Granada,33,1988,22,18,"1,500",16.7,1,0,5,0,0.06,0,0.8,0.1,0.05,0.01,2021/2022
742,Landry Dimata,be BEL,"FW,MF",Espanyol,23,1997,17,4,541,6,0,0,0,0,0,0,1.6,0.3,0.27,0.05,2021/2022
743,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,"2,772",30.8,0,0,0,0,0,0,0,0,0,0,2021/2022
744,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,"3,420",38,0,0,1,0,0,0,0,0.1,0,0,2021/2022
745,Djené,tg TOG,DF,Getafe,29,1991,35,35,"3,115",34.6,0,1,11,1,0,0.03,0.1,0.4,0,0.01,2021/2022
746,Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,21,1999,7,1,219,2.4,0,0,0,0,0,0,0.3,0.5,0.11,0.21,2021/2022
747,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6,6,540,6,0,0,0,0,0,0,0,0,0,0,2021/2022
748,Jaume Doménech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,0,0,1,0,0,0,0,0,0,0,2021/2022
749,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,8,3,344,3.8,0,0,1,0,0,0,0.1,0,0.03,0,2021/2022
750,Mario Dominguez,es ESP,FW,Valencia,17,2004,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,2021/2022
751,John Donald,es ESP,DF,Elche,20,2000,2,2,180,2,0,0,0,0,0,0,0.5,0.1,0.26,0.03,2021/2022
752,Domingos Duarte,pt POR,DF,Granada,26,1995,21,19,"1,687",18.7,1,0,7,1,0.05,0,0.9,0.5,0.05,0.03,2021/2022
753,Óscar Duarte,cr CRC,DF,Levante,32,1989,23,20,"1,773",19.7,2,0,5,0,0.1,0,1.2,0.4,0.06,0.02,2021/2022
754,Rubén Duarte,es ESP,DF,Alavés,25,1995,34,31,"2,621",29.1,0,4,12,1,0,0.14,0.4,2.5,0.01,0.09,2021/2022
755,Unai Dufur,es ESP,DF,Osasuna,22,1999,1,1,90,1,0,0,0,0,0,0,0,0,0.02,0,2021/2022
756,Hugo Duro,es ESP,"DF,MF",Getafe,21,1999,1,0,12,0.1,0,0,0,0,0,0,0.1,0,0.61,0,2021/2022
757,Hugo Duro,es ESP,"FW,MF",Valencia,21,1999,30,22,"1,834",20.4,7,1,3,1,0.34,0.05,3.5,0.7,0.17,0.03,2021/2022
758,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,30,22,"2,105",23.4,4,1,3,1,0.17,0.04,1.6,0.1,0.07,0,2021/2022
759,Adri Embarba,es ESP,"FW,MF",Espanyol,29,1992,32,24,"1,986",22.1,0,2,4,0,0,0.09,2.8,2.5,0.13,0.12,2021/2022
760,Emerson,br BRA,DF,Barcelona,22,1999,3,1,91,1,0,0,0,0,0,0,0,0,0,0,2021/2022
761,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,23,15,"1,277",14.2,5,1,1,0,0.35,0.07,6.4,1.2,0.45,0.08,2021/2022
762,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,17,15,"1,300",14.4,5,0,8,1,0.35,0,3.2,0.2,0.22,0.01,2021/2022
763,Aarón Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,0,0,1,1,0,0,0,0,0,0,2021/2022
764,Sergio Escudero,es ESP,"DF,MF",Granada,31,1989,27,15,"1,434",15.9,2,1,6,0,0.13,0.06,1.1,1.6,0.07,0.1,2021/2022
765,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37,37,"3,329",37,2,2,6,0,0.05,0.05,1.7,2.5,0.05,0.07,2021/2022
766,Estanis,es ESP,FW,Barcelona,17,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,2021/2022
767,Pervis Estupiñán,ec ECU,DF,Villarreal,23,1998,28,17,"1,575",17.5,0,1,3,0,0,0.06,0.8,2.5,0.04,0.14,2021/2022
768,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,19,2001,10,6,580,6.4,1,0,4,0,0.16,0,1.3,0.9,0.2,0.14,2021/2022
769,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,22,8,838,9.3,6,0,1,0,0.64,0,4.9,0.3,0.53,0.03,2021/2022
770,Fali,es ESP,"DF,MF",Cádiz,27,1993,28,23,"1,803",20,0,2,6,0,0,0.1,0.7,1.4,0.03,0.07,2021/2022
771,Omar Faraj,se SWE,FW,Levante,19,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2021/2022
772,Ansu Fati,es ESP,FW,Barcelona,18,2002,10,3,336,3.7,4,0,0,0,1.07,0,1.3,0.4,0.36,0.12,2021/2022
