S.No.,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls/per 90,Ast/per 90,xG/expexted season,xA/expected season,xG/per 90,xA/per 90,Season
402,Yunus Musah,us USA,MF,Valencia,19,2002,33,26,"2,110",23.4,0,2,10,1,0,0.09,1.8,1.8,0.08,0.08,2022/2023
403,Francisco Mwepu,zm ZAM,FW,Cádiz,22,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,2022/2023
404,Nacho,es ESP,DF,Real Madrid,32,1990,27,18,"1,637",18.2,1,1,7,0,0.05,0.05,0.8,0.9,0.04,0.05,2022/2023
405,Juanjo Narváez,co COL,"MF,FW",Valladolid,27,1995,5,1,148,1.6,0,0,0,0,0,0,0.2,0,0.11,0,2022/2023
406,Matija Nastasić,rs SRB,DF,Mallorca,29,1993,14,10,906,10.1,1,0,3,0,0.1,0,0.5,0,0.05,0,2022/2023
407,Roberto Navarro,es ESP,"MF,FW",Real Sociedad,20,2002,17,1,351,3.9,0,0,2,0,0,0,1,1.2,0.26,0.32,2022/2023
408,Jesús Navas,es ESP,"DF,FW",Sevilla,36,1985,32,21,"1,981",22,0,0,5,0,0,0,0.3,2.8,0.01,0.13,2022/2023
409,Álvaro Negredo,es ESP,FW,Cádiz,36,1985,21,9,757,8.4,1,2,0,0,0.12,0.24,1.8,2.4,0.21,0.28,2022/2023
410,Tanguy Nianzou,fr FRA,DF,Sevilla,20,2002,19,16,"1,366",15.2,1,0,1,1,0.07,0,0.5,0,0.03,0,2022/2023
411,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,27,1994,31,11,"1,100",12.2,3,1,8,0,0.25,0.08,2.4,0.7,0.2,0.05,2022/2023
412,Fernando Niño,es ESP,"MF,FW",Villarreal,21,2000,3,0,22,0.2,0,0,0,0,0,0,0.1,0,0.31,0,2022/2023
413,Randy Ntekja,fr FRA,"FW,MF",Elche,24,1997,14,10,726,8.1,0,0,1,0,0,0,1.3,0.9,0.16,0.12,2022/2023
414,Randy Ntekja,fr FRA,"FW,MF",Rayo Vallecano,24,1997,10,0,116,1.3,0,0,0,1,0,0,0.2,0,0.19,0.01,2022/2023
415,Unai Núñez,es ESP,DF,Celta Vigo,25,1997,36,35,"3,151",35,0,0,8,0,0,0,1.2,0.1,0.03,0,2022/2023
416,Jan Oblak,si SVN,GK,Atlético Madrid,29,1993,28,28,"2,492",27.7,0,0,1,0,0,0,0,0,0,0,2022/2023
417,Brian Ocampo,uy URU,"MF,FW",Cádiz,23,1999,18,15,"1,119",12.4,1,1,2,0,0.08,0.08,0.5,1.7,0.04,0.14,2022/2023
418,Lucas Ocampos,ar ARG,"FW,MF",Sevilla,28,1994,19,11,"1,165",12.9,4,0,7,0,0.31,0,4.5,1.4,0.35,0.11,2022/2023
419,Álvaro Odriozola,es ESP,DF,Real Madrid,26,1995,3,0,39,0.4,0,0,0,0,0,0,0.2,0.3,0.56,0.66,2022/2023
420,Olasagasti,es ESP,"MF,DF",Real Sociedad,21,2000,3,0,65,0.7,0,0,0,0,0,0,0,0,0.07,0,2022/2023
421,Lucas Olaza,uy URU,DF,Valladolid,28,1994,23,16,"1,494",16.6,0,1,3,0,0,0.06,0.4,1,0.02,0.06,2022/2023
422,Brian Oliván,es ESP,DF,Espanyol,28,1994,30,29,"2,403",26.7,1,7,7,0,0.04,0.26,0.6,4.3,0.02,0.16,2022/2023
423,Lucas Oliveira Rosa,br BRA,DF,Valladolid,22,2000,17,11,931,10.3,0,1,3,0,0,0.1,0.4,1,0.03,0.1,2022/2023
424,Aimar Oroz,es ESP,"MF,FW",Osasuna,20,2001,31,23,"2,013",22.4,3,6,6,0,0.13,0.27,3.6,2.8,0.16,0.12,2022/2023
425,Pedro Ortiz,es ESP,MF,Sevilla,21,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2022/2023
426,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,25,1997,23,14,"1,214",13.5,4,1,1,0,0.3,0.07,4.6,2.2,0.34,0.16,2022/2023
427,Cenk Özkacar,tr TUR,DF,Valencia,21,2000,17,14,"1,365",15.2,0,0,1,0,0,0,0.8,0.2,0.05,0.02,2022/2023
428,Fernando Pacheco,es ESP,GK,Almería,30,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,2022/2023
429,Fernando Pacheco,es ESP,GK,Espanyol,30,1992,16,16,"1,440",16,0,0,0,0,0,0,0,0.2,0,0.02,2022/2023
430,Jon Pacheco,es ESP,DF,Real Sociedad,21,2001,17,12,"1,193",13.3,0,1,2,0,0,0.08,0.1,0.1,0.01,0.01,2022/2023
431,Gonçalo Paciência,pt POR,"FW,MF",Celta Vigo,27,1994,25,5,662,7.4,2,0,2,1,0.27,0,1.9,0.6,0.26,0.08,2022/2023
432,Helibelton Palacios,co COL,DF,Elche,29,1993,24,23,"1,915",21.3,0,0,6,0,0,0,0.4,0.7,0.02,0.04,2022/2023
433,Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,27,1994,37,36,"2,965",32.9,9,5,4,0,0.27,0.15,7.7,5.2,0.23,0.16,2022/2023
434,Aitor Paredes,es ESP,DF,Athletic Club,22,2000,16,9,859,9.5,0,0,3,0,0,0,0.5,0.4,0.05,0.04,2022/2023
435,Daniel Parejo,es ESP,MF,Villarreal,33,1989,37,37,"3,285",36.5,3,4,6,0,0.08,0.11,4.7,4.1,0.13,0.11,2022/2023
436,Moises Parra Gutierrez,es ESP,FW,Getafe,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,2022/2023
