Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Aly Abeid,mr MTN,DF,Levante,19,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2017-18
2,Antonio Adán,es ESP,GK,Betis,30,1987,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2017-18
3,Aday,es ESP,DF,Girona,29,1987,20.4,2,31,12,38.7,1.52,0.59,0.03,0.08,22.8,5,1,2,2.8,1.3,0.04,-0.8,-0.3,2017-18
4,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,23.9,9,56,23,41.1,2.34,0.96,0.11,0.26,13.5,0,3,5,11.1,7.6,0.13,-2.1,-1.6,2017-18
5,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,20.3,0,3,1,33.3,0.15,0.05,0,0,36.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2017-18
6,Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,2.6,0,6,2,33.3,2.33,0.78,0,0,10.4,0,0,0,1.2,1.2,0.19,-1.2,-1.2,2017-18
7,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,12.8,0,9,0,0,0.7,0,0,,21.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6,2017-18
8,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,0.4,0,2,0,0,4.86,0,0,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2017-18
9,David Alba,es ESP,DF,Getafe,18,1999,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2017-18
10,Jordi Alba,es ESP,DF,Barcelona,28,1989,30.5,2,15,5,33.3,0.49,0.16,0.13,0.4,14.4,0,0,0,2.1,2.1,0.14,-0.1,-0.1,2017-18
11,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,19.4,1,11,2,18.2,0.57,0.1,0.09,0.5,9.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5,2017-18
12,Paco Alcácer,es ESP,MFFW,Barcelona,23,1993,7.7,4,15,7,46.7,1.94,0.91,0.27,0.57,12.2,0,0,0,3.9,3.9,0.26,0.1,0.1,2017-18
13,Pedro Alcalá,es ESP,DF,Girona,28,1989,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,15.9,1,0,0,1,1,0.12,0,0,2017-18
14,Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2017-18
15,Álex Alegría,es ESP,FW,Levante,24,1992,7,0,14,2,14.3,2.01,0.29,0,0,18.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,2017-18
16,Iván Alejo,es ESP,MFFW,Eibar,22,1995,12.2,1,13,3,23.1,1.06,0.25,0.08,0.33,20.8,0,0,0,0.5,0.5,0.04,0.5,0.5,2017-18
