Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Aymen Abdennour,tn TUN,DF,Valencia,26,1989,9.8,0,2,0,0,0.2,0,0,,,,0,0,,,,,,2016-17
2,Antonio Adán,es ESP,GK,Betis,29,1987,37,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
3,Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,27.3,16,85,45,52.9,3.11,1.65,0.13,0.24,,,5,5,,,,,,2016-17
4,Akram Afif,qa QAT,MF,Sporting Gijón,19,1996,2.6,0,1,1,100,0.38,0.38,0,0,,,0,0,,,,,,2016-17
5,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,23,1993,5.5,0,5,0,0,0.91,0,0,,,,0,0,,,,,,2016-17
6,Javi Álamo,es ESP,FWMF,Osasuna,27,1988,0.1,0,1,0,0,6.92,0,0,,,,0,0,,,,,,2016-17
7,Jordi Alba,es ESP,DF,Barcelona,27,1989,21.9,1,6,1,16.7,0.27,0.05,0.17,1,,,0,0,,,,,,2016-17
8,Raúl Albentosa,es ESP,DF,La Coruña,27,1988,25.9,1,10,4,40,0.39,0.15,0.1,0.25,,,0,0,,,,,,2016-17
9,Paco Alcácer,es ESP,FW,Barcelona,22,1993,9.5,6,25,15,60,2.62,1.57,0.24,0.4,,,0,0,,,,,,2016-17
10,Paco Alcácer,es ESP,FW,Valencia,22,1993,1,0,2,1,50,2,1,0,0,,,0,0,,,,,,2016-17
11,Álex Alegría,es ESP,FW,Betis,23,1992,16,3,45,20,44.4,2.82,1.25,0.07,0.15,,,0,0,,,,,,2016-17
12,Carles Aleñá,es ESP,MF,Barcelona,18,1998,0.5,0,1,0,0,2.09,0,0,,,,0,0,,,,,,2016-17
13,Alexander,ar ARG,MF,Leganés,27,1988,22.6,8,42,17,40.5,1.86,0.75,0.17,0.41,,,1,2,,,,,,2016-17
14,Alexis,es ESP,DF,Alavés,30,1985,20.2,2,7,2,28.6,0.35,0.1,0.29,1,,,0,0,,,,,,2016-17
15,Sergio Álvarez,es ESP,MF,Sporting Gijón,24,1992,33.4,2,16,5,31.3,0.48,0.15,0.13,0.4,,,0,0,,,,,,2016-17
16,Sergio Álvarez,es ESP,GK,Celta Vigo,29,1986,26,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
17,Víctor Álvarez,es ESP,DF,Espanyol,23,1993,2.3,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
18,Yeray Álvarez,es ESP,DF,Athletic Club,21,1995,25.2,0,13,2,15.4,0.52,0.08,0,0,,,0,0,,,,,,2016-17
19,Diego Alves,br BRA,GK,Valencia,31,1985,33,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
20,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,31,1985,24.6,0,10,2,20,0.41,0.08,0,0,,,0,0,,,,,,2016-17
21,Jon Ander Serantes,es ESP,GK,Leganés,26,1989,12.3,0,1,1,100,0.08,0.08,0,0,,,0,0,,,,,,2016-17
22,Florin Andone,ro ROU,FW,La Coruña,23,1993,32.1,12,100,42,42,3.11,1.31,0.12,0.29,,,0,0,,,,,,2016-17
23,Victorien Angban,ci CIV,MF,Granada,19,1996,7.6,0,2,0,0,0.26,0,0,,,,0,0,,,,,,2016-17
24,Miguel Ángel Guerrero,es ESP,FW,Leganés,26,1990,23.8,5,43,17,39.5,1.81,0.72,0.09,0.24,,,1,1,,,,,,2016-17
25,José Ángel,es ESP,DF,Villarreal,26,1989,7,0,7,0,0,1,0,0,,,,0,0,,,,,,2016-17
26,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,32,1984,8.6,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
27,José Antonio Reyes,es ESP,MFFW,Espanyol,32,1983,9.7,3,15,5,33.3,1.55,0.52,0.13,0.4,,,1,1,,,,,,2016-17
28,Sergio Araujo,ar ARG,FW,Las Palmas,24,1992,5.9,2,17,7,41.2,2.87,1.18,0.12,0.29,,,0,0,,,,,,2016-17
29,Anaitz Arbilla,es ESP,DF,Eibar,29,1987,17.5,0,9,3,33.3,0.51,0.17,0,0,,,0,0,,,,,,2016-17
30,Markel Areitio,es ESP,GK,Eibar,19,1996,0.5,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
31,Alejandro Arribas,es ESP,DF,La Coruña,27,1989,21.2,0,14,3,21.4,0.66,0.14,0,0,,,0,0,,,,,,2016-17
32,Kepa Arrizabalaga,es ESP,GK,Athletic Club,21,1994,22.4,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
33,Aythami Artiles,es ESP,DF,Las Palmas,30,1986,9.3,0,4,1,25,0.43,0.11,0,0,,,0,0,,,,,,2016-17
34,Sergio Asenjo,es ESP,GK,Villarreal,27,1989,23.4,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
35,Marco Asensio,es ESP,FWMF,Real Madrid,20,1996,12,3,26,11,42.3,2.16,0.91,0.12,0.27,,,0,0,,,,,,2016-17
36,Iago Aspas,es ESP,FWMF,Celta Vigo,28,1987,25.7,19,78,37,47.4,3.03,1.44,0.17,0.35,,,6,6,,,,,,2016-17
37,Omer Atzili,il ISR,MF,Granada,23,1993,3.5,0,1,0,0,0.28,0,0,,,,0,0,,,,,,2016-17
38,Ryan Babel,nl NED,MFFW,La Coruña,29,1986,6.2,4,13,7,53.8,2.08,1.12,0.31,0.57,,,0,1,,,,,,2016-17
39,Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,29,1986,19,1,9,3,33.3,0.47,0.16,0.11,0.33,,,0,0,,,,,,2016-17
40,Cédric Bakambu,cd COD,FW,Villarreal,25,1991,17.4,11,48,25,52.1,2.76,1.44,0.23,0.44,,,0,0,,,,,,2016-17
41,Zakaria Bakkali,be BEL,FW,Valencia,20,1996,3.2,1,6,2,33.3,1.87,0.62,0.17,0.5,,,0,0,,,,,,2016-17
42,Gareth Bale,wls WAL,FW,Real Madrid,27,1989,15.8,7,64,24,37.5,4.06,1.52,0.11,0.29,,,0,0,,,,,,2016-17
43,Mikel Balenziaga,es ESP,DF,Athletic Club,28,1988,31.6,1,10,1,10,0.32,0.03,0.1,1,,,0,0,,,,,,2016-17
44,Léo Baptistão,br BRA,FWMF,Espanyol,23,1992,15.8,6,33,21,63.6,2.09,1.33,0.18,0.29,,,0,0,,,,,,2016-17
45,Kike Barja,es ESP,MF,Osasuna,19,1997,0.2,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
46,David Barral,es ESP,FW,Granada,33,1983,3.5,0,10,1,10,2.85,0.28,0,0,,,0,0,,,,,,2016-17
47,Diego Barrios,es ESP,GK,Leganés,22,1994,0.7,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
48,Jon Bautista,es ESP,FW,Real Sociedad,21,1995,3.5,3,13,4,30.8,3.75,1.15,0.23,0.75,,,0,0,,,,,,2016-17
49,Claudio Beauvue,gp GLP,FW,Celta Vigo,28,1988,7.3,1,19,4,21.1,2.6,0.55,0.05,0.25,,,0,0,,,,,,2016-17
50,Bebé,cv CPV,MFFW,Eibar,26,1990,7.6,3,23,10,43.5,3.01,1.31,0.13,0.3,,,0,0,,,,,,2016-17
51,Wissam Ben Yedder,fr FRA,FW,Sevilla,25,1990,18.5,11,44,23,52.3,2.38,1.25,0.23,0.43,,,1,1,,,,,,2016-17
52,Karim Benzema,fr FRA,FW,Real Madrid,28,1987,21.1,11,69,34,49.3,3.26,1.61,0.16,0.32,,,0,0,,,,,,2016-17
53,Yuri Berchiche,es ESP,DF,Real Sociedad,26,1990,34.3,3,40,8,20,1.17,0.23,0.08,0.38,,,0,0,,,,,,2016-17
54,Álex Berenguer,es ESP,DFMF,Osasuna,21,1995,23.6,1,16,5,31.3,0.68,0.21,0.06,0.2,,,0,0,,,,,,2016-17
55,Álex Bergantiños,es ESP,MFDF,La Coruña,31,1985,6.1,1,3,1,33.3,0.49,0.16,0.33,1,,,0,0,,,,,,2016-17
56,Markel Bergara,es ESP,MF,Real Sociedad,30,1986,3.2,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
57,Pedro Bigas,es ESP,DF,Las Palmas,25,1990,29.4,4,19,7,36.8,0.65,0.24,0.21,0.57,,,0,0,,,,,,2016-17
58,Rubén Blanco,es ESP,GK,Celta Vigo,21,1995,11,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
59,Kevin-Prince Boateng,gh GHA,FWMF,Las Palmas,29,1987,22,10,75,32,42.7,3.41,1.46,0.13,0.31,,,0,0,,,,,,2016-17
60,Jeremie Boga,ci CIV,MFFW,Granada,19,1997,16.2,2,29,9,31,1.79,0.56,0.07,0.22,,,0,0,,,,,,2016-17
61,Daniele Bonera,it ITA,DF,Villarreal,35,1981,6,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
62,Theo Bongonda,cd COD,MFFW,Celta Vigo,20,1995,24,1,32,7,21.9,1.33,0.29,0.03,0.14,,,0,0,,,,,,2016-17
63,Tano Bonnín,do DOM,DF,Osasuna,26,1990,8.2,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
64,Celso Borges,cr CRC,MF,La Coruña,28,1988,30.2,6,41,10,24.4,1.36,0.33,0.1,0.4,,,2,3,,,,,,2016-17
65,Rafael Borré,co COL,FW,Villarreal,20,1995,4,2,11,9,81.8,2.77,2.27,0.18,0.22,,,0,0,,,,,,2016-17
66,Eneko Bóveda,es ESP,DF,Athletic Club,27,1988,17.3,0,2,0,0,0.12,0,0,,,,0,0,,,,,,2016-17
67,Denys Boyko,ua UKR,GK,Málaga,28,1988,3,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
68,Darko Brašanac,rs SRB,MF,Betis,24,1992,18,1,15,3,20,0.83,0.17,0.07,0.33,,,0,0,,,,,,2016-17
69,Claudio Bravo,cl CHI,GK,Barcelona,33,1983,1,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
70,Alberto Brignoli,it ITA,GK,Leganés,24,1991,0.7,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
71,Alberto Bueno,es ESP,FWMF,Leganés,28,1988,4.2,1,8,2,25,1.89,0.47,0.13,0.5,,,0,0,,,,,,2016-17
72,Alberto Bueno,es ESP,MF,Granada,28,1988,6.2,1,11,5,45.5,1.76,0.8,0.09,0.2,,,0,0,,,,,,2016-17
73,Aitor Buñuel,es ESP,DFMF,Osasuna,18,1998,11.4,0,6,0,0,0.52,0,0,,,,0,0,,,,,,2016-17
74,Burgui,es ESP,MFFW,Sporting Gijón,22,1993,22.1,2,51,23,45.1,2.3,1.04,0.04,0.09,,,0,0,,,,,,2016-17
75,Sergio Busquets,es ESP,MF,Barcelona,28,1988,29.9,0,4,0,0,0.13,0,0,,,,0,0,,,,,,2016-17
76,Unai Bustinza,es ESP,DF,Leganés,24,1992,19.9,0,14,4,28.6,0.7,0.2,0,0,,,0,0,,,,,,2016-17
77,Gustavo Cabral,ar ARG,DF,Celta Vigo,30,1985,24.2,2,19,8,42.1,0.79,0.33,0.11,0.25,,,0,0,,,,,,2016-17
78,Felipe Caicedo,ec ECU,FW,Espanyol,27,1988,14.3,2,15,6,40,1.05,0.42,0.13,0.33,,,0,1,,,,,,2016-17
79,Ignacio Camacho,es ESP,MF,Málaga,26,1990,34.9,4,40,14,35,1.14,0.4,0.1,0.29,,,0,0,,,,,,2016-17
80,Víctor Camarasa,es ESP,MF,Alavés,22,1994,27.7,3,32,8,25,1.15,0.29,0.09,0.38,,,0,0,,,,,,2016-17
81,Sergio Canales,es ESP,MFFW,Real Sociedad,25,1991,11.2,0,20,5,25,1.78,0.45,0,0,,,0,0,,,,,,2016-17
82,João Cancelo,pt POR,DFMF,Valencia,22,1994,27,1,22,11,50,0.82,0.41,0.05,0.09,,,0,0,,,,,,2016-17
83,Roberto Canella,es ESP,DF,Sporting Gijón,28,1988,19.5,2,11,2,18.2,0.56,0.1,0.18,1,,,0,0,,,,,,2016-17
84,Aitor Cantalapiedra,es ESP,FWMF,Villarreal,20,1996,0,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
85,Ander Capa,es ESP,DF,Eibar,24,1992,28.3,0,9,2,22.2,0.32,0.07,0,0,,,0,0,,,,,,2016-17
86,Mehdi Carcela,ma MAR,MFFW,Granada,27,1989,19.4,5,30,15,50,1.55,0.77,0.17,0.33,,,0,0,,,,,,2016-17
87,José Carlos,es ESP,DF,Betis,20,1996,5.5,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
88,Carlos Carmona,es ESP,MFFW,Sporting Gijón,29,1987,20.7,8,34,15,44.1,1.64,0.73,0.24,0.53,,,0,0,,,,,,2016-17
89,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,22,1993,25.1,10,84,33,39.3,3.35,1.32,0.12,0.3,,,0,1,,,,,,2016-17
90,Daniel Carriço,pt POR,DF,Sevilla,27,1988,5,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
91,Federico Cartabia,ar ARG,MFFW,Valencia,23,1993,1.7,0,2,0,0,1.18,0,0,,,,0,0,,,,,,2016-17
92,Dani Carvajal,es ESP,DF,Real Madrid,24,1992,22.4,0,9,4,44.4,0.4,0.18,0,0,,,0,0,,,,,,2016-17
93,Casemiro,br BRA,MF,Real Madrid,24,1992,19,4,15,4,26.7,0.79,0.21,0.27,1,,,0,0,,,,,,2016-17
94,Nacho Cases,es ESP,MF,Sporting Gijón,28,1987,16.3,2,11,4,36.4,0.67,0.24,0.18,0.5,,,0,0,,,,,,2016-17
95,Kiko Casilla,es ESP,GK,Real Madrid,29,1986,11,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
96,Dani Castellano,es ESP,DF,Las Palmas,28,1987,23.4,0,9,3,33.3,0.38,0.13,0,0,,,0,0,,,,,,2016-17
97,Javi Castellano,es ESP,DFMF,Las Palmas,28,1987,1.1,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
98,Samu Castillejo,es ESP,MF,Villarreal,21,1995,22.8,2,33,15,45.5,1.45,0.66,0.06,0.13,,,0,0,,,,,,2016-17
99,Carlos Castro,es ESP,FW,Sporting Gijón,21,1995,11.4,4,16,10,62.5,1.41,0.88,0.25,0.4,,,0,0,,,,,,2016-17
100,Chory Castro,uy URU,MFFW,Málaga,31,1984,19.9,1,31,13,41.9,1.56,0.65,0.03,0.08,,,0,0,,,,,,2016-17
101,Jonny Castro,es ESP,DF,Celta Vigo,22,1994,24.6,0,13,5,38.5,0.53,0.2,0,0,,,0,0,,,,,,2016-17
102,Rubén Castro,es ESP,FW,Betis,35,1981,30.9,13,117,42,35.9,3.79,1.36,0.09,0.26,,,2,2,,,,,,2016-17
103,Goran Čaušić,rs SRB,MF,Osasuna,24,1992,22.3,1,15,4,26.7,0.67,0.18,0.07,0.25,,,0,0,,,,,,2016-17
104,Dani Ceballos,es ESP,MF,Betis,19,1996,26,2,37,16,43.2,1.42,0.62,0.05,0.13,,,0,0,,,,,,2016-17
105,Álvaro Cejudo,es ESP,MFFW,Betis,32,1984,9.1,1,16,4,25,1.77,0.44,0.06,0.25,,,0,0,,,,,,2016-17
106,Alessio Cerci,it ITA,FWMF,Atlético Madrid,29,1987,0.2,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
107,Nereo Champagne,ar ARG,GK,Leganés,31,1985,4,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
108,Charles,br BRA,FW,Málaga,32,1984,12.7,3,38,15,39.5,3,1.18,0.08,0.2,,,0,0,,,,,,2016-17
109,Pape Cheikh Diop,sn SEN,MFFW,Celta Vigo,18,1997,6.3,1,1,1,100,0.16,0.16,1,1,,,0,0,,,,,,2016-17
110,Denis Cheryshev,ru RUS,MF,Villarreal,25,1990,3.8,0,8,3,37.5,2.12,0.79,0,0,,,0,0,,,,,,2016-17
111,Michaël Ciani,fr FRA,DF,Espanyol,32,1984,0.6,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
112,Jasper Cillessen,nl NED,GK,Barcelona,27,1989,1,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
113,Carlos Clerc,es ESP,DFMF,Osasuna,24,1992,21.6,1,7,3,42.9,0.32,0.14,0.14,0.33,,,0,0,,,,,,2016-17
114,Fábio Coentrão,pt POR,DF,Real Madrid,28,1988,1.9,0,1,0,0,0.53,0,0,,,,0,0,,,,,,2016-17
115,Emre Çolak,tr TUR,MF,La Coruña,25,1991,27.4,3,42,13,31,1.53,0.47,0.07,0.23,,,0,1,,,,,,2016-17
116,David Concha,es ESP,MF,Real Sociedad,19,1996,1.3,0,2,0,0,1.55,0,0,,,,0,0,,,,,,2016-17
117,Duje Čop,hr CRO,FW,Sporting Gijón,26,1990,25.3,9,65,26,40,2.57,1.03,0.09,0.23,,,3,4,,,,,,2016-17
118,Ángel Correa,ar ARG,MFFW,Atlético Madrid,21,1995,13.7,4,37,16,43.2,2.71,1.17,0.11,0.25,,,0,0,,,,,,2016-17
119,Joaquín Correa,ar ARG,MFFW,Sevilla,21,1994,14.6,4,34,13,38.2,2.33,0.89,0.12,0.31,,,0,0,,,,,,2016-17
120,Jaume Costa,es ESP,DF,Villarreal,28,1988,29.8,1,10,4,40,0.34,0.13,0.1,0.25,,,0,0,,,,,,2016-17
121,David Costas,es ESP,DF,Celta Vigo,21,1995,1,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
122,Iván Cuéllar,es ESP,GK,Sporting Gijón,32,1984,36,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
123,Isaac Cuenca,es ESP,MFDF,Granada,25,1991,19.4,2,18,7,38.9,0.93,0.36,0.11,0.29,,,0,0,,,,,,2016-17
124,Danilo,br BRA,DF,Real Madrid,25,1991,16.5,1,11,2,18.2,0.67,0.12,0.09,0.5,,,0,0,,,,,,2016-17
125,Martín Demichelis,ar ARG,DF,Málaga,35,1980,7.5,0,4,1,25,0.53,0.13,0,0,,,0,0,,,,,,2016-17
126,Martín Demichelis,ar ARG,DF,Espanyol,35,1980,1.1,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
127,Deyverson,br BRA,FW,Alavés,25,1991,28.7,7,56,22,39.3,1.95,0.77,0.13,0.32,,,0,0,,,,,,2016-17
128,Marcelo Díaz,cl CHI,MF,Celta Vigo,29,1986,18.3,1,12,2,16.7,0.66,0.11,0.08,0.5,,,0,0,,,,,,2016-17
129,Víctor Díaz,es ESP,DF,Leganés,28,1988,20.1,1,15,6,40,0.75,0.3,0.07,0.17,,,0,0,,,,,,2016-17
130,Didier Digard,fr FRA,MF,Osasuna,30,1986,2.1,0,1,0,0,0.47,0,0,,,,0,0,,,,,,2016-17
131,Lucas Digne,fr FRA,DF,Barcelona,23,1993,13,0,5,1,20,0.38,0.08,0,0,,,0,0,,,,,,2016-17
132,Papakouli Diop,sn SEN,MF,Espanyol,30,1986,10.1,0,4,0,0,0.4,0,0,,,,0,0,,,,,,2016-17
133,Jaume Doménech,es ESP,GK,Valencia,25,1990,3,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
134,Ryan Donk,sr SUR,MFDF,Betis,30,1986,9.5,0,3,0,0,0.31,0,0,,,,0,0,,,,,,2016-17
135,Jonathan dos Santos,mx MEX,MF,Villarreal,26,1990,24.6,2,41,7,17.1,1.67,0.28,0.05,0.29,,,0,0,,,,,,2016-17
136,Mauro dos Santos,ar ARG,DF,Eibar,27,1989,8.5,0,3,0,0,0.35,0,0,,,,0,0,,,,,,2016-17
137,Douglas,br BRA,DFMF,Sporting Gijón,25,1990,19.1,3,15,5,33.3,0.79,0.26,0.2,0.6,,,0,0,,,,,,2016-17
138,Óscar Duarte,cr CRC,DF,Espanyol,27,1989,12.5,0,6,0,0,0.48,0,0,,,,0,0,,,,,,2016-17
139,Rubén Duarte,es ESP,DF,Espanyol,20,1995,1.1,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
140,Duda,pt POR,MF,Málaga,36,1980,4.3,1,6,1,16.7,1.39,0.23,0.17,1,,,0,0,,,,,,2016-17
141,Riza Durmisi,dk DEN,DF,Betis,22,1994,26.5,1,22,4,18.2,0.83,0.15,0.05,0.25,,,0,0,,,,,,2016-17
142,Elderson Echiéjilé,ng NGA,DF,Sporting Gijón,28,1988,2.2,1,2,1,50,0.91,0.45,0.5,1,,,0,0,,,,,,2016-17
143,Aritz Elustondo,es ESP,DF,Real Sociedad,22,1994,5.1,0,4,0,0,0.78,0,0,,,,0,0,,,,,,2016-17
144,Gorka Elustondo,es ESP,DF,Athletic Club,29,1987,1.2,0,1,1,100,0.85,0.85,0,0,,,0,0,,,,,,2016-17
145,Rodrigo Ely,br BRA,DF,Alavés,22,1993,8.8,1,8,1,12.5,0.91,0.11,0.13,1,,,0,0,,,,,,2016-17
146,Youssef En-Nesyri,ma MAR,FW,Málaga,19,1997,3.7,1,15,7,46.7,4.02,1.87,0.07,0.14,,,0,0,,,,,,2016-17
147,Sergi Enrich,es ESP,FW,Eibar,26,1990,31.4,11,64,26,40.6,2.04,0.83,0.17,0.42,,,0,0,,,,,,2016-17
148,Juanan Entrena,es ESP,MF,Granada,20,1996,1.1,0,6,2,33.3,5.24,1.75,0,0,,,0,0,,,,,,2016-17
149,Javier Eraso,es ESP,MF,Athletic Club,26,1990,4.2,0,5,0,0,1.19,0,0,,,,0,0,,,,,,2016-17
150,Gonzalo Escalante,ar ARG,MF,Eibar,23,1993,22.4,2,24,6,25,1.07,0.27,0.08,0.33,,,0,0,,,,,,2016-17
151,Sergio Escudero,es ESP,DFMF,Sevilla,26,1989,25.4,0,33,11,33.3,1.3,0.43,0,0,,,0,0,,,,,,2016-17
152,Cristian Espinoza,ar ARG,MF,Alavés,21,1995,1.8,0,2,1,50,1.1,0.55,0,0,,,0,0,,,,,,2016-17
153,Pervis Estupiñán,ec ECU,DF,Granada,18,1998,2,0,1,1,100,0.5,0.5,0,0,,,0,0,,,,,,2016-17
154,Beñat Etxebarria,es ESP,MF,Athletic Club,29,1987,26.7,1,35,11,31.4,1.31,0.41,0.03,0.09,,,0,0,,,,,,2016-17
155,Xabier Etxeita,es ESP,DF,Athletic Club,28,1987,7.9,0,3,1,33.3,0.38,0.13,0,0,,,0,0,,,,,,2016-17
156,Edu Expósito,es ESP,MF,La Coruña,19,1996,0.5,0,1,0,0,2.05,0,0,,,,0,0,,,,,,2016-17
157,Erik Expósito,es ESP,FW,Las Palmas,20,1996,1.8,0,1,1,100,0.54,0.54,0,0,,,0,0,,,,,,2016-17
158,Fayçal Fajr,ma MAR,MF,La Coruña,27,1988,13.4,0,20,8,40,1.49,0.6,0,0,,,0,1,,,,,,2016-17
159,Zouhair Feddal,ma MAR,DF,Alavés,27,1989,24.9,2,10,4,40,0.4,0.16,0.2,0.5,,,0,0,,,,,,2016-17
160,Kiko Femenía,es ESP,DF,Alavés,25,1991,27.8,0,5,1,20,0.18,0.04,0,0,,,0,0,,,,,,2016-17
161,Álvaro Fernández,es ESP,GK,Osasuna,18,1998,0.5,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
162,Andrés Fernández,es ESP,GK,Villarreal,29,1986,14.6,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
163,Augusto Fernández,ar ARG,MF,Atlético Madrid,30,1986,1.6,0,0,0,,0,0,,,,,0,0,,,,,,2016-17
