Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
337,Santi Mina,es ESP,FW,Valencia,22,1995,20.6,7,43,22,51.2,2.09,1.07,0.16,0.32,11.7,0,0,0,8.1,7.9,0.18,-1.1,-0.9,2018-19
338,Ignasi Miquel,es ESP,DF,Getafe,25,1992,3.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
339,Jorge Miramón,es ESP,DF,Huesca,29,1989,27.7,1,12,4,33.3,0.43,0.14,0.08,0.25,22.9,0,0,0,0.8,0.8,0.06,0.2,0.2,2018-19
340,Luka Modrić,hr CRO,MF,Real Madrid,32,1985,29,3,37,12,32.4,1.28,0.41,0.08,0.25,21.1,0,0,0,2.7,2.7,0.07,0.3,0.3,2018-19
341,Johan Mojica,co COL,FWMF,Girona,25,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
342,Jorge Molina,es ESP,FW,Getafe,36,1982,29.4,14,55,21,38.2,1.87,0.71,0.22,0.57,12.8,0,2,2,11.5,9.9,0.19,2.5,2.1,2018-19
343,Victor Mollejo,es ESP,FWDF,Atlético Madrid,17,2001,0.7,0,2,0,0,2.77,0,0,,19.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2018-19
344,Francisco Montero,es ESP,DF,Atlético Madrid,19,1999,4.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
345,Emre Mor,tr TUR,FWMF,Celta Vigo,21,1997,4.1,0,8,4,50,1.95,0.98,0,0,21.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,2018-19
346,Álvaro Morata,es ESP,FW,Atlético Madrid,25,1992,12,6,30,13,43.3,2.49,1.08,0.2,0.46,11.2,0,0,0,6.3,6.3,0.22,-0.3,-0.3,2018-19
347,Álex Moreno,es ESP,DF,Rayo Vallecano,25,1993,34.8,1,25,7,28,0.72,0.2,0.04,0.14,19.5,0,0,0,1.1,1.1,0.04,-0.1,-0.1,2018-19
348,Gerard Moreno,es ESP,FW,Villarreal,26,1992,25.7,8,70,32,45.7,2.72,1.24,0.11,0.25,14.4,0,0,1,12,11.2,0.16,-4,-3.2,2018-19
349,Héctor Moreno,mx MEX,DF,Real Sociedad,30,1988,21.5,1,6,1,16.7,0.28,0.05,0.17,1,10.4,0,0,0,0.6,0.6,0.09,0.4,0.4,2018-19
350,Sergio Moreno,es ESP,FW,Rayo Vallecano,19,1999,0.2,0,1,1,100,6.43,6.43,0,0,10.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,2018-19
351,Manu Morlanes,es ESP,MF,Villarreal,19,1999,6.8,0,3,0,0,0.44,0,0,,27.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2018-19
352,Loren Morón,es ESP,FW,Betis,24,1993,21.7,6,58,28,48.3,2.67,1.29,0.1,0.21,14.2,0,0,0,8.9,8.6,0.15,-2.9,-2.6,2018-19
353,Toni Moya,es ESP,DF,Atlético Madrid,20,1998,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
354,Javi Moyano,es ESP,DF,Valladolid,32,1986,23.3,0,6,2,33.3,0.26,0.09,0,0,16.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,2018-19
355,Iker Muniain,es ESP,MFFW,Athletic Club,25,1992,26.5,7,24,11,45.8,0.91,0.42,0.25,0.55,15.6,0,1,1,7.1,6.3,0.26,-0.1,-0.3,2018-19
356,Marc Muniesa,es ESP,DFMF,Girona,26,1992,15.6,0,7,1,14.3,0.45,0.06,0,0,18.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2018-19
357,Aihen Muñoz,es ESP,DF,Real Sociedad,20,1997,10.6,0,2,0,0,0.19,0,0,,16.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2018-19
358,Ezequiel Muñoz,ar ARG,DF,Leganés,27,1990,2.3,0,2,0,0,0.85,0,0,,10.7,0,0,0,0.2,0.2,0.1,-0.2,-0.2,2018-19
359,Joaquín Muñoz,es ESP,FW,Atlético Madrid,19,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
360,Luis Muriel,co COL,MFFW,Sevilla,27,1991,1.4,1,4,1,25,2.93,0.73,0.25,1,18.3,0,0,0,0.2,0.2,0.06,0.8,0.8,2018-19
361,Jeison Murillo,co COL,DF,Barcelona,26,1992,1.3,0,1,1,100,0.8,0.8,0,0,13.3,0,0,0,0,0,0.05,0,0,2018-19
362,Jeison Murillo,co COL,DF,Valencia,26,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
363,Damián Musto,ar ARG,MFDF,Huesca,31,1987,18.7,0,13,2,15.4,0.69,0.11,0,0,21.4,0,0,0,1.2,1.2,0.09,-1.2,-1.2,2018-19
364,Nacho,es ESP,DF,Valladolid,29,1989,35,1,17,5,29.4,0.49,0.14,0.06,0.2,23.2,0,0,0,0.6,0.6,0.03,0.4,0.4,2018-19
365,Nacho,es ESP,DF,Real Madrid,28,1990,18.9,0,5,0,0,0.27,0,0,,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,2018-19
366,Naldo,br BRA,DF,Espanyol,29,1988,15.1,1,7,1,14.3,0.46,0.07,0.14,1,8.2,0,0,0,1.1,1.1,0.15,-0.1,-0.1,2018-19
367,Ximo Navarro,es ESP,DF,Alavés,28,1990,28.1,2,13,3,23.1,0.46,0.11,0.15,0.67,19.8,0,0,0,0.7,0.7,0.05,1.3,1.3,2018-19
368,Jesús Navas,es ESP,DFFW,Sevilla,32,1985,30.1,1,32,11,34.4,1.06,0.37,0.03,0.09,20.8,0,0,0,1.5,1.5,0.05,-0.5,-0.5,2018-19
369,Keylor Navas,cr CRC,GK,Real Madrid,31,1986,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
370,Raúl Navas,es ESP,DF,Real Sociedad,30,1988,14.6,0,5,0,0,0.34,0,0,,19.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,2018-19
371,Neto,br BRA,GK,Valencia,29,1989,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
372,Saúl Ñíguez,es ESP,MFDF,Atlético Madrid,23,1994,32.5,4,51,19,37.3,1.57,0.58,0.08,0.21,19.9,1,0,1,5,4.1,0.08,-1,-0.1,2018-19
373,Peru Nolaskoain,es ESP,DF,Athletic Club,19,1998,5.2,2,4,3,75,0.78,0.58,0.5,0.67,13.9,0,0,0,0.4,0.4,0.11,1.6,1.6,2018-19
374,Nolito,es ESP,FWDF,Sevilla,31,1986,0.8,0,2,1,50,2.37,1.18,0,0,7.2,0,0,0,0.5,0.5,0.26,-0.5,-0.5,2018-19
375,Unai Núñez,es ESP,DF,Athletic Club,21,1997,11.8,0,12,3,25,1.02,0.25,0,0,11.6,0,0,0,1.1,1.1,0.09,-1.1,-1.1,2018-19
376,Allan Nyom,cm CMR,DFFW,Leganés,30,1988,19,1,5,3,60,0.26,0.16,0.2,0.33,19.3,0,0,0,0.3,0.3,0.05,0.7,0.7,2018-19
377,Jan Oblak,si SVN,GK,Atlético Madrid,25,1993,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
378,Álvaro Odriozola,es ESP,DF,Real Madrid,22,1995,13.1,0,1,1,100,0.08,0.08,0,0,11.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5,2018-19
379,Dani Ojeda,es ESP,MFDF,Leganés,23,1994,2.1,0,2,1,50,0.93,0.47,0,0,12.1,0,0,0,0.4,0.4,0.19,-0.4,-0.4,2018-19
380,Lucas Olaza,uy URU,DF,Celta Vigo,24,1994,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
381,Oier Olazábal,es ESP,GK,Levante,28,1989,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
382,Kiko Olivas,es ESP,DF,Valladolid,29,1988,34.4,0,6,1,16.7,0.17,0.03,0,0,8.8,0,0,0,1.3,1.3,0.21,-1.3,-1.3,2018-19
383,Paulo Oliveira,pt POR,DF,Eibar,26,1992,24.9,0,9,2,22.2,0.36,0.08,0,0,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,2018-19
384,Mathías Olivera,uy URU,DFMF,Getafe,20,1997,11.2,0,6,3,50,0.54,0.27,0,0,18.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,2018-19
385,Kenneth Omeruo,ng NGA,DF,Leganés,24,1993,27,0,3,1,33.3,0.11,0.04,0,0,16.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,2018-19
386,Fabián Orellana,cl CHI,MFFW,Eibar,32,1986,30.4,3,77,24,31.2,2.54,0.79,0.03,0.08,17,3,1,1,7.2,6.4,0.08,-4.2,-4.4,2018-19
