Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Aymen Abdennour,tn TUN,DF,Valencia,25,1989,20.6,0,6,2,33.3,0.29,0.1,0,0,,,0,0,,,,,,2015-16
2,Antonio Adán,es ESP,GK,Betis,28,1987,35.7,0,0,0,,0,0,,,,,0,0,,,,,,2015-16
3,Adriano,br BRA,DF,Barcelona,30,1984,4.8,0,1,0,0,0.21,0,0,,,,0,0,,,,,,2015-16
4,Aritz Aduriz,es ESP,FW,Athletic Club,34,1981,30.8,20,93,49,52.7,3.02,1.59,0.18,0.35,,,3,5,,,,,,2015-16
5,Imanol Agirretxe,es ESP,FW,Real Sociedad,28,1987,13,13,46,22,47.8,3.54,1.69,0.28,0.59,,,0,0,,,,,,2015-16
6,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,22,1993,11.8,0,6,1,16.7,0.51,0.08,0,0,,,0,0,,,,,,2015-16
7,Ager Aketxe,es ESP,MF,Athletic Club,21,1993,2.1,0,4,1,25,1.95,0.49,0,0,,,0,0,,,,,,2015-16
8,Jordi Alba,es ESP,DF,Barcelona,26,1989,28.8,0,7,2,28.6,0.24,0.07,0,0,,,0,0,,,,,,2015-16
9,Raúl Albentosa,es ESP,DF,Málaga,26,1988,28.4,2,17,7,41.2,0.6,0.25,0.12,0.29,,,0,0,,,,,,2015-16
10,Luis Alberto,es ESP,MFFW,La Coruña,22,1992,23.3,6,80,27,33.8,3.43,1.16,0.08,0.22,,,0,0,,,,,,2015-16
11,Paco Alcácer,es ESP,FW,Valencia,21,1993,26.9,13,61,26,42.6,2.27,0.97,0.18,0.42,,,2,3,,,,,,2015-16
12,Antolín Alcaraz,py PAR,DF,Las Palmas,33,1982,6,1,2,1,50,0.33,0.17,0.5,1,,,0,0,,,,,,2015-16
13,Nauzet Alemán,es ESP,MF,Las Palmas,30,1985,2.8,0,3,0,0,1.09,0,0,,,,0,0,,,,,,2015-16
14,Diego Alende,es ESP,DF,Celta Vigo,17,1997,0.4,0,0,0,,0,0,,,,,0,0,,,,,,2015-16
15,Alexis,es ESP,DF,Getafe,29,1985,15,1,2,1,50,0.13,0.07,0.5,1,,,0,0,,,,,,2015-16
16,Sergio Álvarez,es ESP,MF,Sporting Gijón,23,1992,24.3,2,5,3,60,0.21,0.12,0.4,0.67,,,0,0,,,,,,2015-16
17,Sergio Álvarez,es ESP,GK,Celta Vigo,28,1986,30.3,0,0,0,,0,0,,,,,0,0,,,,,,2015-16
18,Víctor Álvarez,es ESP,MFDF,Espanyol,22,1993,21.8,1,13,4,30.8,0.6,0.18,0.08,0.25,,,0,0,,,,,,2015-16
19,Dani Alves,br BRA,DF,Barcelona,32,1983,23.8,0,16,4,25,0.67,0.17,0,0,,,0,0,,,,,,2015-16
20,Diego Alves,br BRA,GK,Valencia,30,1985,13,0,0,0,,0,0,,,,,0,0,,,,,,2015-16
21,Antonio Amaya,es ESP,DF,Rayo Vallecano,32,1983,11.5,1,3,2,66.7,0.26,0.17,0.33,0.5,,,0,0,,,,,,2015-16
