Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2019-20
2,Aritz Aduriz,es ESP,FWMF,Athletic Club,38,1981,2.3,1,6,2,33.3,2.6,0.87,0.17,0.5,15.7,0,0,1,1.6,0.8,0.13,-0.6,0.2,2019-20
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,1,14,2,14.3,0.7,0.1,0.07,0.5,30.1,0,0,0,0.3,0.3,0.02,0.7,0.7,2019-20
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1,24.1,0,0,0,0.8,0.8,0.26,0.2,0.2,2019-20
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,0,10,1,10,0.36,0.04,0,0,11.1,0,0,0,1,1,0.1,-1,-1,2019-20
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16.4,0,0,0,1.4,1.4,0.2,0.6,0.6,2019-20
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36,1,15,4,26.7,0.42,0.11,0.07,0.25,10.8,0,0,0,2.3,2.3,0.15,-1.3,-1.3,2019-20
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,4,26,7,26.9,2.53,0.68,0.15,0.57,16.4,1,0,0,3.7,3.7,0.14,0.3,0.3,2019-20
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,25.9,9,0,0,1.9,1.9,0.06,0.1,0.1,2019-20
10,Álex Alegría,es ESP,FW,Mallorca,26,1992,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2019-20
11,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,0,1,1,100,0.52,0.52,0,0,17.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,2019-20
12,Carles Aleñá,es ESP,MFFW,Betis,21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,21.5,0,0,0,1.4,1.4,0.12,-0.4,-0.4,2019-20
13,Sergio Álvarez,es ESP,MFDF,Eibar,27,1992,12.7,0,4,0,0,0.31,0,0,,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,2019-20
14,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2019-20
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,0,12,2,16.7,0.38,0.06,0,0,13.9,0,0,0,1.3,1.3,0.11,-1.3,-1.3,2019-20
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,0,5,1,20,0.58,0.12,0,0,13.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7,2019-20
