Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
551,Franco Vázquez,ar ARG,FWMF,Sevilla,31,1989,1.8,1,3,1,33.3,1.65,0.55,0.33,1.0,15.6,0.0,0,0,0.2,0.2,0.06,0.8,0.8,2020-21
552,Kevin Vázquez,es ESP,DF,Celta Vigo,27,1993,6.2,0,1,0,0.0,0.16,0.0,0.0,0.27531531531531533,22.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0,2020-21
553,Lucas Vázquez,es ESP,DFFW,Real Madrid,29,1991,20.5,2,21,7,33.3,1.02,0.34,0.1,0.29,20.5,0.0,0,0,1.8,1.8,0.09,0.2,0.2,2020-21
554,Koke Vegas,es ESP,GK,Levante,24,1995,1.0,0,0,0,25.0,0.0,0.0,0.25,1.0,23.25,0.0,0,0,0.0,0.0,0.0825,0.0,0.0,2020-21
555,Gabriel Veiga,es ESP,MFDF,Celta Vigo,18,2002,1.3,0,0,0,24.0,0.0,0.0,0.06857142857142857,0.22454545454545452,19.099999999999998,0.0,0,0,0.0,0.0,0.08357142857142856,0.0,0.0,2020-21
556,Unai Vencedor Paris,es ESP,MF,Athletic Club,19,2000,18.9,0,9,0,0.0,0.48,0.0,0.0,0.22059523809523812,23.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,2020-21
557,Gonzalo Verdú,es ESP,DF,Elche,31,1988,32.7,0,11,4,36.4,0.34,0.12,0.0,0.0,12.6,2.0,0,0,1.6,1.6,0.15,-1.6,-1.6,2020-21
558,Mikel Vesga,es ESP,MF,Athletic Club,27,1993,19.1,0,22,5,22.7,1.15,0.26,0.0,0.0,17.7,0.0,0,0,1.6,1.6,0.07,-1.6,-1.6,2020-21
559,Rúben Vezo,pt POR,DF,Levante,26,1994,25.7,1,5,2,40.0,0.19,0.08,0.2,0.5,15.2,0.0,0,0,0.3,0.3,0.06,0.7,0.7,2020-21
560,Iñigo Vicente,es ESP,FWMF,Athletic Club,22,1998,0.6,0,1,0,0.0,1.73,0.0,0.0,0.2872340425531915,23.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0,2020-21
561,Fede Vico,es ESP,MFFW,Granada,26,1994,8.5,0,10,4,40.0,1.17,0.47,0.0,0.0,20.8,2.0,0,0,0.7,0.7,0.07,-0.7,-0.7,2020-21
562,Aleix Vidal,es ESP,DF,Sevilla,30,1989,6.6,0,1,0,0.0,0.15,0.0,0.0,0.27531531531531533,29.0,0.0,0,0,0.0,0.0,0.03,0.0,0.0,2020-21
563,Nacho Vidal,es ESP,DF,Osasuna,25,1995,26.1,0,10,2,20.0,0.38,0.08,0.0,0.0,19.1,1.0,0,0,0.8,0.8,0.08,-0.8,-0.8,2020-21
564,Toni Villa,es ESP,MFFW,Valladolid,25,1995,10.8,2,15,5,33.3,1.39,0.46,0.13,0.4,19.1,0.0,0,0,0.8,0.8,0.05,1.2,1.2,2020-21
565,Asier Villalibre,es ESP,FW,Athletic Club,22,1997,17.7,4,38,14,36.8,2.15,0.79,0.11,0.29,14.3,0.0,0,0,4.3,4.3,0.11,-0.3,-0.3,2020-21
566,Iván Villar,es ESP,GK,Celta Vigo,23,1997,19.8,0,0,0,25.0,0.0,0.0,0.25,1.0,23.25,0.0,0,0,0.0,0.0,0.0825,0.0,0.0,2020-21
567,Vitolo,es ESP,MFFW,Atlético Madrid,30,1989,3.3,0,2,0,0.0,0.6,0.0,0.0,0.29641509433962265,11.4,0.0,0,0,0.4,0.4,0.22,-0.4,-0.4,2020-21
568,Šime Vrsaljko,hr CRO,FWDF,Atlético Madrid,28,1992,5.8,0,0,0,50.0,0.0,0.0,0.0,0.0,7.3,0.0,0,0,0.0,0.0,0.16,0.0,0.0,2020-21
569,Nikola Vukčević,me MNE,MF,Levante,28,1991,9.0,0,2,0,0.0,0.22,0.0,0.0,0.22059523809523812,4.7,0.0,0,0,0.3,0.3,0.14,-0.3,-0.3,2020-21
570,Daniel Wass,dk DEN,MFDF,Valencia,31,1989,33.1,4,37,10,27.0,1.12,0.3,0.08,0.3,25.5,9.0,1,1,2.9,2.1,0.06,1.1,0.9,2020-21
571,Shon Weissman,il ISR,FW,Valladolid,24,1996,23.7,6,39,17,43.6,1.65,0.72,0.15,0.35,12.9,0.0,0,0,5.6,5.6,0.14,0.4,0.4,2020-21
572,Iñaki Williams,gh GHA,FW,Athletic Club,26,1994,26.5,6,52,16,30.8,1.96,0.6,0.1,0.31,15.2,0.0,1,1,6.2,5.4,0.1,-0.2,-0.4,2020-21
573,Nico Williams,es ESP,MF,Athletic Club,18,2002,0.6,0,1,0,0.0,1.58,0.0,0.0,0.22059523809523812,14.0,0.0,0,0,0.0,0.0,0.05,0.0,0.0,2020-21
574,Jawad El Yamiq,ma MAR,DF,Valladolid,28,1992,15.3,0,8,2,25.0,0.52,0.13,0.0,0.0,18.0,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,2020-21
575,Rubén Yáñez,es ESP,GK,Getafe,26,1993,10.0,0,0,0,25.0,0.0,0.0,0.25,1.0,23.25,0.0,0,0,0.0,0.0,0.0825,0.0,0.0,2020-21
576,Yoel,es ESP,GK,Eibar,31,1988,3.3,0,0,0,25.0,0.0,0.0,0.25,1.0,23.25,0.0,0,0,0.0,0.0,0.0825,0.0,0.0,2020-21
577,Okay Yokuşlu,tr TUR,MF,Celta Vigo,26,1994,5.1,0,3,0,0.0,0.58,0.0,0.0,0.22059523809523812,17.7,0.0,0,0,0.4,0.4,0.15,-0.4,-0.4,2020-21
578,Joseba Zaldúa,es ESP,DF,Real Sociedad,28,1992,7.1,0,2,1,50.0,0.28,0.14,0.0,0.0,25.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-21
579,Oier Zarraga,es ESP,MF,Athletic Club,21,1999,1.1,0,1,0,0.0,0.9,0.0,0.0,0.22059523809523812,16.3,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,2020-21
580,Igor Zubeldia,es ESP,DF,Real Sociedad,23,1997,21.8,1,9,3,33.3,0.41,0.14,0.11,0.33,16.6,0.0,0,0,1.3,1.3,0.14,-0.3,-0.3,2020-21
581,Martín Zubimendi,es ESP,MF,Real Sociedad,21,1999,20.9,0,7,1,14.3,0.33,0.05,0.0,0.0,13.1,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,2020-21
582,Martin Ødegaard,no NOR,MF,Real Madrid,21,1998,2.6,0,3,0,0.0,1.15,0.0,0.0,0.22059523809523812,19.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,2020-21
