Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,1,7,1,14.3,1.34,0.19,0.14,1,29.7,0,0,0,0.3,0.3,0.04,0.7,0.7,2021-22
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,0,1,1,100,7.5,7.5,0,0,10.1,0,0,0,0,0,0.04,0,0,2021-22
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,19.2,10,64,32,50,3.33,1.66,0.16,0.31,18.9,2,0,0,8.4,8.4,0.13,1.6,1.6,2021-22
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,18,85,36,42.4,2.48,1.05,0.18,0.42,16.5,7,3,5,14.8,10.8,0.13,3.2,4.2,2021-22
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12,11,37,20,54.1,3.08,1.66,0.3,0.55,12,0,0,0,7,7,0.19,4,4,2021-22
41,Ludwig Augustinsson,se SWE,DFFW,Sevilla,27,1994,8.8,0,4,2,50,0.45,0.23,0,0,15.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,2021-22
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,0,11,2,18.2,0.98,0.18,0,0,15.9,0,0,0,1,1,0.09,-1,-1,2021-22
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,20.8,6,62,15,24.2,2.98,0.72,0.08,0.33,24.6,4,1,1,4.7,4.5,0.07,1.3,0.5,2021-22
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,1,23,8,34.8,1.07,0.37,0.04,0.13,24.4,0,0,0,1.6,1.6,0.07,-0.6,-0.6,2021-22
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,0,9,2,22.2,1.58,0.35,0,0,14.5,0,0,0,1,1,0.11,-1,-1,2021-22
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,2.1,0,1,0,0,0.48,0,0,,19.3,0,0,0,0,0,0.04,0,0,2021-22
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,1,15,6,40,4.82,1.93,0.07,0.17,19.7,2,0,0,1.3,1.3,0.09,-0.3,-0.3,2021-22
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,0,7,2,28.6,0.31,0.09,0,0,24.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,2021-22
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,1,15,3,20,0.43,0.09,0.07,0.33,19.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1,2021-22
52,Barbero,es ESP,FWMF,Osasuna,22,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
53,Barcia,es ESP,DF,Granada,20,2000,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,18.9,3,41,8,19.5,2.17,0.42,0.02,0.13,24.3,9,2,2,4.2,2.6,0.06,-1.2,-1.6,2021-22
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,1,4,1,25,0.24,0.06,0.25,1,13.2,0,0,0,0.4,0.4,0.09,0.6,0.6,2021-22
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,9.6,2,17,6,35.3,1.77,0.62,0.12,0.33,18.9,0,0,0,1.4,1.4,0.08,0.6,0.6,2021-22
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,0,1,0,0,0.09,0,0,,13.1,0,0,0,0,0,0.03,0,0,2021-22
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,6.1,1,8,2,25,1.32,0.33,0.13,0.5,15.2,0,0,0,0.8,0.8,0.1,0.2,0.2,2021-22
59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,1,15,3,20,0.68,0.14,0.07,0.33,16.3,0,0,0,1.6,1.6,0.11,-0.6,-0.6,2021-22
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,0,5,1,20,0.38,0.08,0,0,21.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,2021-22
62,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,0.5,0,1,0,0,2,0,0,,16.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2021-22
63,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,9.6,1,50,8,16,5.19,0.83,0.02,0.13,26.7,10,0,0,2.1,2.1,0.04,-1.1,-1.1,2021-22
